
Epoch 39, Train Accuracy: 0.683768630027771 , TrainLoss: 0.8872408755570937 , Test Accuracy: 0.5673981308937073 , TestLoss: 0.5041915800021091


Epoch 40, Train Accuracy: 0.6703333854675293 , TrainLoss: 0.9031520201943866 , Test Accuracy: 0.5634796023368835 , TestLoss: 0.5151051657357417


Epoch 41, Train Accuracy: 0.6800739169120789 , TrainLoss: 0.8728329639349128 , Test Accuracy: 0.5628918409347534 , TestLoss: 0.5126851379986483


Epoch 42, Train Accuracy: 0.6807456612586975 , TrainLoss: 0.8880616755346996 , Test Accuracy: 0.5605407357215881 , TestLoss: 0.5131149911812425


Epoch 43, Train Accuracy: 0.6815853714942932 , TrainLoss: 0.8753401368302125 , Test Accuracy: 0.5656347870826721 , TestLoss: 0.5170957384486674


Epoch 44, Train Accuracy: 0.6912419199943542 , TrainLoss: 0.8620873428189851 , Test Accuracy: 0.5705329179763794 , TestLoss: 0.5002211172661399


Epoch 45, Train Accuracy: 0.6863716840744019 , TrainLoss: 0.8780075680930285 , Test Accuracy: 0.5572100281715393 , TestLoss: 0.50898467728649


Epoch 46, Train Accuracy: 0.6768830418586731 , TrainLoss: 0.8986934555779077 , Test Accuracy: 0.5564263463020325 , TestLoss: 0.5095123433878584


Epoch 47, Train Accuracy: 0.6789823174476624 , TrainLoss: 0.8832346607499824 , Test Accuracy: 0.5621081590652466 , TestLoss: 0.5078650748502478


Epoch 48, Train Accuracy: 0.6903182864189148 , TrainLoss: 0.8709626094511569 , Test Accuracy: 0.5636755228042603 , TestLoss: 0.5065346294290644


Epoch 49, Train Accuracy: 0.6914098858833313 , TrainLoss: 0.8556543314964448 , Test Accuracy: 0.5715125203132629 , TestLoss: 0.5165546280139138


Epoch 50, Train Accuracy: 0.6924175024032593 , TrainLoss: 0.8656593784145609 , Test Accuracy: 0.5656347870826721 , TestLoss: 0.5198878040741348


Epoch 51, Train Accuracy: 0.6937610507011414 , TrainLoss: 0.8687154607269724 , Test Accuracy: 0.5654388666152954 , TestLoss: 0.5095578460411477


Epoch 52, Train Accuracy: 0.7119825482368469 , TrainLoss: 0.7992514829579964 , Test Accuracy: 0.5679858922958374 , TestLoss: 0.5002150507155049


Epoch 53, Train Accuracy: 0.7393568158149719 , TrainLoss: 0.7336336069427777 , Test Accuracy: 0.5734717845916748 , TestLoss: 0.49991428911140395


Epoch 54, Train Accuracy: 0.7517004013061523 , TrainLoss: 0.6963811499794801 , Test Accuracy: 0.5754310488700867 , TestLoss: 0.5013207054346392


Epoch 55, Train Accuracy: 0.7674028277397156 , TrainLoss: 0.6544874663934649 , Test Accuracy: 0.5756269693374634 , TestLoss: 0.5022605736156146


Epoch 56, Train Accuracy: 0.7644639015197754 , TrainLoss: 0.6497743996097175 , Test Accuracy: 0.5728840231895447 , TestLoss: 0.5033740145261827


Epoch 57, Train Accuracy: 0.770257830619812 , TrainLoss: 0.6305586553779094 , Test Accuracy: 0.5754310488700867 , TestLoss: 0.5063152479799101


Epoch 58, Train Accuracy: 0.7815098166465759 , TrainLoss: 0.6141181192677151 , Test Accuracy: 0.5752350687980652 , TestLoss: 0.508772354740992


Epoch 59, Train Accuracy: 0.7854564189910889 , TrainLoss: 0.600436752235542 , Test Accuracy: 0.5787617564201355 , TestLoss: 0.5111873428750893


Epoch 60, Train Accuracy: 0.7884793281555176 , TrainLoss: 0.6002440851800177 , Test Accuracy: 0.5773902535438538 , TestLoss: 0.5128356260279983


Epoch 61, Train Accuracy: 0.7949450016021729 , TrainLoss: 0.5750242885834365 , Test Accuracy: 0.5764106512069702 , TestLoss: 0.516570007243498


Epoch 62, Train Accuracy: 0.8004030585289001 , TrainLoss: 0.5605761993916352 , Test Accuracy: 0.5736677050590515 , TestLoss: 0.5195640351272007


Epoch 63, Train Accuracy: 0.8051893711090088 , TrainLoss: 0.5438446544141431 , Test Accuracy: 0.5764106512069702 , TestLoss: 0.5227453585925876


Epoch 64, Train Accuracy: 0.8074565529823303 , TrainLoss: 0.5433759068910217 , Test Accuracy: 0.5768024921417236 , TestLoss: 0.5250567129431268


Epoch 65, Train Accuracy: 0.813586413860321 , TrainLoss: 0.533187973498297 , Test Accuracy: 0.5779780149459839 , TestLoss: 0.5270579198173736


Epoch 66, Train Accuracy: 0.8105634450912476 , TrainLoss: 0.5308647179360333 , Test Accuracy: 0.5777820944786072 , TestLoss: 0.5301597317176618


Epoch 67, Train Accuracy: 0.812242865562439 , TrainLoss: 0.5180799004132486 , Test Accuracy: 0.5783699154853821 , TestLoss: 0.5331276087929494


Epoch 68, Train Accuracy: 0.819716215133667 , TrainLoss: 0.5209698433519281 , Test Accuracy: 0.5756269693374634 , TestLoss: 0.5360862527889412


Epoch 69, Train Accuracy: 0.820891797542572 , TrainLoss: 0.502243786031728 , Test Accuracy: 0.5762147307395935 , TestLoss: 0.5422452404032787


Epoch 70, Train Accuracy: 0.8235788345336914 , TrainLoss: 0.4914683618877064 , Test Accuracy: 0.5807209610939026 , TestLoss: 0.5408724798384617


Epoch 71, Train Accuracy: 0.8259299993515015 , TrainLoss: 0.48676088035672227 , Test Accuracy: 0.5813087821006775 , TestLoss: 0.5456453767488681


Epoch 72, Train Accuracy: 0.8289529085159302 , TrainLoss: 0.4793712558844636 , Test Accuracy: 0.5787617564201355 , TestLoss: 0.5503204966164004


Epoch 73, Train Accuracy: 0.8321437835693359 , TrainLoss: 0.4636385744179974 , Test Accuracy: 0.5783699154853821 , TestLoss: 0.5514915611093476


Epoch 74, Train Accuracy: 0.836846113204956 , TrainLoss: 0.4538723901416257 , Test Accuracy: 0.5791535973548889 , TestLoss: 0.558578820019968


Epoch 75, Train Accuracy: 0.8381056785583496 , TrainLoss: 0.4503126814329551 , Test Accuracy: 0.577194333076477 , TestLoss: 0.5664405401532401


Epoch 76, Train Accuracy: 0.8440675139427185 , TrainLoss: 0.44219127527882063 , Test Accuracy: 0.5779780149459839 , TestLoss: 0.5693594078661683


Epoch 77, Train Accuracy: 0.8445713520050049 , TrainLoss: 0.4468685866743564 , Test Accuracy: 0.5769984126091003 , TestLoss: 0.5698804106597426


Epoch 78, Train Accuracy: 0.8405408263206482 , TrainLoss: 0.4431312368895387 , Test Accuracy: 0.5738636255264282 , TestLoss: 0.5783847150899509


Epoch 79, Train Accuracy: 0.8469225168228149 , TrainLoss: 0.425450113510563 , Test Accuracy: 0.5744513869285583 , TestLoss: 0.5834398810194226


Epoch 80, Train Accuracy: 0.8449912071228027 , TrainLoss: 0.4282519378913561 , Test Accuracy: 0.5766065716743469 , TestLoss: 0.5837583483411619


Epoch 81, Train Accuracy: 0.8514569401741028 , TrainLoss: 0.417415825732835 , Test Accuracy: 0.5734717845916748 , TestLoss: 0.5852785929693404


Epoch 82, Train Accuracy: 0.8509531021118164 , TrainLoss: 0.41386371665782096 , Test Accuracy: 0.577194333076477 , TestLoss: 0.5915615366231746


Epoch 83, Train Accuracy: 0.8537241220474243 , TrainLoss: 0.4071443873157388 , Test Accuracy: 0.5742554664611816 , TestLoss: 0.5910142475255982


Epoch 84, Train Accuracy: 0.8569989204406738 , TrainLoss: 0.40806103455451287 , Test Accuracy: 0.5715125203132629 , TestLoss: 0.599016575241121


Epoch 85, Train Accuracy: 0.8590981960296631 , TrainLoss: 0.3909912278857096 , Test Accuracy: 0.5760188102722168 , TestLoss: 0.6071264396857751


Epoch 86, Train Accuracy: 0.8641363978385925 , TrainLoss: 0.3896419818875411 , Test Accuracy: 0.5766065716743469 , TestLoss: 0.6156329905239037


Epoch 87, Train Accuracy: 0.8621211051940918 , TrainLoss: 0.39227471045116824 , Test Accuracy: 0.5769984126091003 , TestLoss: 0.6087875266911571


Epoch 88, Train Accuracy: 0.8675791621208191 , TrainLoss: 0.3815403748108144 , Test Accuracy: 0.5756269693374634 , TestLoss: 0.6128715879020847


Epoch 89, Train Accuracy: 0.8708540201187134 , TrainLoss: 0.36921080584809945 , Test Accuracy: 0.5773902535438538 , TestLoss: 0.6223126596503178


Epoch 90, Train Accuracy: 0.8674112558364868 , TrainLoss: 0.3759262992078666 , Test Accuracy: 0.5750391483306885 , TestLoss: 0.6236046017422485


Epoch 91, Train Accuracy: 0.8679150342941284 , TrainLoss: 0.3668082226472874 , Test Accuracy: 0.5679858922958374 , TestLoss: 0.6344287888971121


Epoch 92, Train Accuracy: 0.8726173639297485 , TrainLoss: 0.3561993925644915 , Test Accuracy: 0.5699451565742493 , TestLoss: 0.6384224939310278


Epoch 93, Train Accuracy: 0.8679990172386169 , TrainLoss: 0.366941586335767 , Test Accuracy: 0.5715125203132629 , TestLoss: 0.6373106446932041


Epoch 94, Train Accuracy: 0.8770678043365479 , TrainLoss: 0.35232738746244585 , Test Accuracy: 0.5721002817153931 , TestLoss: 0.6485801427387773


